Tracking Number,Reference Number(s),Status,Manifest Date,Ship To Name,Ship To City,Ship To State/Province,Ship To Country,Service,Scheduled Delivery,Images,Alternate Address Delivery Notification Failed,Alternate Delivery Address Name,Alternate Delivery Address Phone,Alternate Delivery Address Address Line 1,Alternate Delivery Address Address Line 2,Alternate Delivery Address Address Line 3,Alternate Delivery Address City,Alternate Delivery Address State,Alternate Delivery Address Postal Code,Alternate Delivery Address Country,Alternate Tracking Number,Appointment Made,Appointment Requested Date,Appointment Requested Start Time,Appointment Requested End Time,Arrival Date,Arrival Time,Bill To Name,Bill To Account Number,Bill To Address Line 1,Bill To Address Line 2,Bill To Address Line 3,Bill To Address Line 4,Bill To Address Line 5,Bill To City,Bill To State,Bill To Postal Code,Bill To Country,Bill To Email Address,Bill To Fax Number,Bond Date,Bond Number,Booking Number,Carrier,Chargeable Weight,Chargeable Weight UOM,Charges,Class,Clinical Trials Indicator,COD Amount Collected,COD Amount Due,COD Collected Currency Type,Commercial Invoice Removal,Commodity,Container,Customer Pickup,Date Delivered,Declared Value,Delivery Location,Delivery Preference,Delivery Time,Departure Date,Departure Time,Description of Goods,Doc Indicator,Earliest Delivery Time,Exception Description,Exception Resolution,Exception Status Description,Flight/Voyage,Handling Unit,Harmonized Code,Hazardous Materials,Hold at UPS Access Point Shipments,In-bond Entry Code,Infectious Substances Category A,Insured  Value,Insured Value Currency Code,Label Delivery Method,Large Package,Liftgate on Pickup,Liftgate on Delivery,Load Type,Location Assured,Manufacture Country,Master Bill of Lading,Mode of Transportation,Number of Pieces,Number of Pieces - UOM,Original Scheduled Delivery Date,Original Scheduled Delivery Time,Package Height,Package Length,Package Width,Package Dimensional Weight,Package Reference No. 1,Package Reference No. 2,Package Reference No. 3,Package Reference No. 4,Package Reference No. 5,Package Reference No. Type 1,Package Reference No. Type 2,Package Reference No. Type 3,Package Reference No. Type 4,Package Reference No. Type 5,Package Release Code Required,Pickup By Date,Pickup Preference,Postal Service Tracking ID,Product,Product Line,Received By,Residential Address,Return Services,Return To Name,Return To Attention,Return To Address Line 1,Return To Address Line 2,Return To Address Line 3,Return To City,Return To State/Province,Return To Postal Code,Return To Country,Return To Telephone,Return To Sender Indicator,Revised Door ETA Date,Revised Door ETA Time,Saturday Delivery,Scheduled Delivery Time,Ship To Attention,Ship To Address Line 1,Ship To Address Line 2,Ship To Address Line 3,Ship-to Address Line 4,Ship-to Address Line 5,Ship To Postal Code,Ship-to Email Address,Ship-to Fax Number,Ship To Telephone,Shipment Activity Date,Shipment Activity Time,Shipment Charge Type,Shipment Reference No. 1,Shipment Reference No. 2,Shipment Reference No. Type 1,Shipment Reference No. Type 2,Shipment Type,Shipment Volume,Shipper Name,Ship To Location,Shipper Attention,Shipper Address Line 1,Shipper Address Line 2,Shipper Address Line 3,Shipper Address Line 4,Shipper Address Line 5,Shipper City,Shipper State/Province,Shipper Postal Code,Shipper Country,Shipper Email Address,Shipper Fax Number,Special Instructions,UPS carbon neutral,UPS Company Principal Customer Identification Number,UPS Delivery Intercept Indicator,UPS Delivery Intercept Origin,UPS Delivery Intercept Name of Requester,UPS Delivery Intercept Request Date,UPS Delivery Intercept Request Time,UPS Delivery Intercept Status,UPS Delivery Intercept Type,New Delivery Customer Name,New Delivery Attention,New Delivery Address 1,New Delivery Address 2,New Delivery Address 3,New Delivery City,New Delivery State/Province,New Delivery Postal Code,New Delivery Country,UPS Import Control Indicator,UPS Import Control Label Type,UPS Premium Care(TM),UPS Returns Flexible Access,UPS Returns ® Exchange,Vessel,Weight
1Z059YX56867192341,837873 SZ 00003|2407884|837873 SZ 00003|2407884|1001129.0|964809|Y,Delivered,7/18/2017,,LANGLEY,BC,CA,UPS Standard,7/21/2017,,,,,,,,,,,,,,,--,--,,--,,059YX5,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,7/24/2017,No Value,RECEIVER,UPS will Deliver,11:23 AM,,--,Electronics and Electronic Parts,NO,--,YOUR PACKAGE IS AT THE CLEARING AGENCY AWAITING FINAL RELEASE.,BROKERAGE RELEASED THE PACKAGE. IT WILL BE PROCESSED THROUGH A CLEARING AGENCY BEFORE FINAL RELEASE TO UPS.,,,,852791,NO,NO,,NO,,,,NO,NO,NO,,NO,,,,2,,7/21/2017,By End Of Day,,,,,837873 SZ 00003,2407884,1001129,964809,Y,Invoice Number,Purchase Order Number,,,,NO,,UPS will Pick up,,UPS World Ease,,CHRIS,NO,,,,,,,,,,,,NO,Not Avail.,1:01 AM,NO,By End Of Day,.,,,,,,V4W3V6,,,18006670400,7/24/2017,11:23 AM,Prepaid,837873 SZ 00003,2407884,Invoice Number,Purchase Order Number,,,,059YX5,SHIPPING DEPARTMENT,,,,,,FRESNO,CA,93727-6868,US,,,,NO,,NO,,,,--,,,,,,,,,,,,NO,,NO,NO,,,28.70 LBS
1Z059YX56867276368,837875 SZ 00003|2407886|837875 SZ 00003|2407886|1001944.0|964811|Y,Delivered,7/18/2017,,BURNABY,BC,CA,UPS Standard,7/21/2017,,,,,,,,,,,,,,,--,--,,--,,059YX5,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,7/24/2017,No Value,RECEIVER,UPS will Deliver,10:54 AM,,--,Electronics and Electronic Parts,NO,--,YOUR PACKAGE IS AT THE CLEARING AGENCY AWAITING FINAL RELEASE.,BROKERAGE RELEASED THE PACKAGE. IT WILL BE PROCESSED THROUGH A CLEARING AGENCY BEFORE FINAL RELEASE TO UPS.,,,,852910,NO,NO,,NO,,,,NO,NO,NO,,NO,,,,2,,7/21/2017,By End Of Day,,,,,837875 SZ 00003,2407886,1001944,964811,Y,Invoice Number,Purchase Order Number,,,,NO,,UPS will Pick up,,UPS World Ease,,BRIAN,NO,,,,,,,,,,,,NO,Not Avail.,1:01 AM,NO,By End Of Day,.,,,,,,V5B3A4,,,16042916431,7/24/2017,10:54 AM,Prepaid,837875 SZ 00003,2407886,Invoice Number,Purchase Order Number,,,,059YX5,SHIPPING DEPARTMENT,,,,,,FRESNO,CA,93727-6868,US,,,,NO,,NO,,,,--,,,,,,,,,,,,NO,,NO,NO,,,7.30 LBS
1Z059YX56867780296,0,Exception,7/18/2017,,RICHMOND,BC,CA,UPS Standard,7/21/2017,,,,,,,,,,,,,,,--,--,,--,,059YX5,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,Not Avail.,No Value,,UPS will Deliver,,,--,Electronics and Electronic Parts,NO,--,DAMAGE TO PACKAGE CONTENTS WAS REPORTED. WE WILL NOTIFY THE SENDER.,WE'RE INVESTIGATING THE DAMAGE CLAIM.,,,,852910,NO,NO,,NO,,,,NO,NO,NO,,NO,,,,1,,7/21/2017,By End Of Day,,,,,,,,,,,,,,,NO,,UPS will Pick up,,UPS World Ease,,,NO,,,,,,,,,,,,NO,Not Avail.,1:01 AM,NO,By End Of Day,PACCAR PARTS,,,,,,V7B1M6,,,15595589023,7/24/2017,9:22 AM,Prepaid,,,,,,,,059YX5,SHIPPING DEPARTMENT,,,,,,FRESNO,CA,93727-6868,US,,,,NO,,NO,,,,--,,,,,,,,,,,,NO,,NO,NO,,,1.00 LBS
1Z059YX56867955508,837560 SZ 00003|2312136|837560 SZ 00003|2312136|1089248.0|964837|Y,Delivered,7/18/2017,,SURREY,BC,CA,UPS Standard,7/21/2017,,,,,,,,,,,,,,,--,--,,--,,059YX5,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,7/24/2017,No Value,RECEIVER,UPS will Deliver,11:48 AM,,--,Electronics and Electronic Parts,NO,--,YOUR PACKAGE IS AT THE CLEARING AGENCY AWAITING FINAL RELEASE.,BROKERAGE RELEASED THE PACKAGE. IT WILL BE PROCESSED THROUGH A CLEARING AGENCY BEFORE FINAL RELEASE TO UPS.,,,,8528592500,NO,NO,,NO,,,,NO,NO,NO,,NO,,,,1,,7/21/2017,By End Of Day,,,,,837560 SZ 00003,2312136,1089248,964837,Y,Invoice Number,Purchase Order Number,,,,NO,,UPS will Pick up,,UPS World Ease,,MEHGAN,NO,,,,,,,,,,,,NO,Not Avail.,1:01 AM,NO,By End Of Day,.,,,,,,V4N4C2,,,16048881411,7/24/2017,11:48 AM,Prepaid,837560 SZ 00003,2312136,Invoice Number,Purchase Order Number,,,,059YX5,SHIPPING DEPARTMENT,,,,,,FRESNO,CA,93727-6868,US,,,,NO,,NO,,,,--,,,,,,,,,,,,NO,,NO,NO,,,1.80 LBS
1Z059YX56868315555,837875 SZ 00003|2407886|837875 SZ 00003|2407886|1001944.0|964811|Y,Delivered,7/18/2017,,BURNABY,BC,CA,UPS Standard,7/21/2017,,,,,,,,,,,,,,,--,--,,--,,059YX5,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,7/24/2017,No Value,RECEIVER,UPS will Deliver,10:54 AM,,--,Electronics and Electronic Parts,NO,--,YOUR PACKAGE IS AT THE CLEARING AGENCY AWAITING FINAL RELEASE.,BROKERAGE RELEASED THE PACKAGE. IT WILL BE PROCESSED THROUGH A CLEARING AGENCY BEFORE FINAL RELEASE TO UPS.,,,,852910,NO,NO,,NO,,,,NO,NO,NO,,NO,,,,2,,7/21/2017,By End Of Day,,,,,837875 SZ 00003,2407886,1001944,964811,Y,Invoice Number,Purchase Order Number,,,,NO,,UPS will Pick up,,UPS World Ease,,BRIAN,NO,,,,,,,,,,,,NO,Not Avail.,1:01 AM,NO,By End Of Day,.,,,,,,V5B3A4,,,16042916431,7/24/2017,10:54 AM,Prepaid,837875 SZ 00003,2407886,Invoice Number,Purchase Order Number,,,,059YX5,SHIPPING DEPARTMENT,,,,,,FRESNO,CA,93727-6868,US,,,,NO,,NO,,,,--,,,,,,,,,,,,NO,,NO,NO,,,29.10 LBS
1Z059YX56869088317,837872 SZ 00003|2407883|837872 SZ 00003|2407883|1001126.0|964808|Y,Delivered,7/18/2017,,PRINCE GEORGE,BC,CA,UPS Standard,7/21/2017,,,,,,,,,,,,,,,--,--,,--,,059YX5,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,7/24/2017,No Value,NA,UPS will Deliver,2:22 PM,,--,Electronics and Electronic Parts,NO,--,YOUR PACKAGE CANNOT BE DELIVERED TO A P.O. BOX. WE'RE ATTEMPTING TO OBTAIN AN ALTERNATE DELIVERY ADDRESS.,THE ADDRESS WAS CORRECTED.,,,,852791,NO,NO,,NO,,,,NO,NO,NO,,NO,,,,2,,7/21/2017,By End Of Day,,,,,837872 SZ 00003,2407883,1001126,964808,Y,Invoice Number,Purchase Order Number,,,,NO,,UPS will Pick up,,UPS World Ease,,BRIT,NO,,,,,,,,,,,,NO,Not Avail.,1:01 AM,NO,By End Of Day,.,,,,,,V2N2X2,,,15595589023,7/24/2017,2:22 PM,Prepaid,837872 SZ 00003,2407883,Invoice Number,Purchase Order Number,,,,059YX5,SHIPPING DEPARTMENT,,,,,,FRESNO,CA,93727-6868,US,,,,NO,,NO,,,,--,,,,,,,,,,,,NO,,NO,NO,,,18.20 LBS
1Z059YX56869210737,837873 SZ 00003|2407884|837873 SZ 00003|2407884|1001129.0|964809|Y,Delivered,7/18/2017,,LANGLEY,BC,CA,UPS Standard,7/21/2017,,,,,,,,,,,,,,,--,--,,--,,059YX5,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,7/24/2017,No Value,RECEIVER,UPS will Deliver,11:23 AM,,--,Electronics and Electronic Parts,NO,--,YOUR PACKAGE IS AT THE CLEARING AGENCY AWAITING FINAL RELEASE.,BROKERAGE RELEASED THE PACKAGE. IT WILL BE PROCESSED THROUGH A CLEARING AGENCY BEFORE FINAL RELEASE TO UPS.,,,,852791,NO,NO,,NO,,,,NO,NO,NO,,NO,,,,2,,7/21/2017,By End Of Day,,,,,837873 SZ 00003,2407884,1001129,964809,Y,Invoice Number,Purchase Order Number,,,,NO,,UPS will Pick up,,UPS World Ease,,CHRIS,NO,,,,,,,,,,,,NO,Not Avail.,1:01 AM,NO,By End Of Day,.,,,,,,V4W3V6,,,18006670400,7/24/2017,11:23 AM,Prepaid,837873 SZ 00003,2407884,Invoice Number,Purchase Order Number,,,,059YX5,SHIPPING DEPARTMENT,,,,,,FRESNO,CA,93727-6868,US,,,,NO,,NO,,,,--,,,,,,,,,,,,NO,,NO,NO,,,10.60 LBS
1Z059YX56869834724,837872 SZ 00003|2407883|837872 SZ 00003|2407883|1001126.0|964808|Y,Delivered,7/18/2017,,PRINCE GEORGE,BC,CA,UPS Standard,7/21/2017,,,,,,,,,,,,,,,--,--,,--,,059YX5,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,7/25/2017,No Value,NA,UPS will Deliver,11:47 AM,,--,Electronics and Electronic Parts,NO,--,THE RECEIVER HAS MOVED. WE'RE  ATTEMPTING TO OBTAIN A NEW DELIVERY ADDRESS FOR THIS RECEIVER.,,,,,852791,NO,NO,,NO,,,,NO,NO,NO,,NO,,,,2,,7/21/2017,By End Of Day,,,,,837872 SZ 00003,2407883,1001126,964808,Y,Invoice Number,Purchase Order Number,,,,NO,,UPS will Pick up,,UPS World Ease,,BRITANY,NO,,,,,,,,,,,,NO,Not Avail.,1:01 AM,NO,By End Of Day,.,,,,,,V2N2X2,,,15595589023,7/25/2017,11:47 AM,Prepaid,837872 SZ 00003,2407883,Invoice Number,Purchase Order Number,,,,059YX5,SHIPPING DEPARTMENT,,,,,,FRESNO,CA,93727-6868,US,,,,NO,,NO,,,,--,,,,,,,,,,,,NO,,NO,NO,,,4.00 LBS
1Z85X99X0152399474,838263 SZ 00003|2407898|838263 SZ 00003|2407898|1000955.0|965132|N,Delivered,7/18/2017,,DENVER,CO,US,UPS Next Day Air,7/19/2017,,,,,,,,,,,,,,,--,--,,--,,85X99X,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,7/19/2017,No Value,FRONT DESK,UPS will Deliver,10:09 AM,,--,,NO,--,,,,,,,NO,NO,,NO,,,,NO,NO,NO,,NO,,,,1,,7/19/2017,10:30 AM,4,11,9,,838263 SZ 00003,2407898,1000955,965132,N,,,,,,NO,,UPS will Pick up,,,,EATON,NO,,,,,,,,,,,,NO,Not Avail.,1:01 AM,NO,By End Of Day,,,,,,,80216,,,,7/19/2017,10:09 AM,Prepaid,838263 SZ 00003,2407898,,,,,,85X99X,SHIPPING DEPT,,,,,,FRESNO,CA,93727-6868,US,,,,NO,,NO,,,,--,,,,,,,,,,,,NO,,NO,NO,,,0.80 LBS
1Z85X99X0152908968,837071 SZ 00003|2407896|837071 SZ 00003|2407896|1000949.0|965151|N,Delivered,7/18/2017,,BIRMINGHAM,AL,US,UPS Next Day Air,7/19/2017,,,,,,,,,,,,,,,--,--,,--,,85X99X,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,7/19/2017,No Value,WPU,UPS will Deliver,9:30 AM,,--,,NO,--,,,,,,,NO,NO,,NO,,,,NO,NO,NO,,NO,,,,1,,7/19/2017,10:30 AM,10,16,10,,837071 SZ 00003,2407896,1000949,965151,N,,,,,,NO,,UPS will Pick up,,,,VAN,NO,,,,,,,,,,,,NO,Not Avail.,1:01 AM,NO,By End Of Day,,,,,,,35234,,,,7/19/2017,9:30 AM,Prepaid,837071 SZ 00003,2407896,,,,,,85X99X,SHIPPING DEPT,,,,,,FRESNO,CA,93727-6868,US,,,,NO,,NO,,,,--,,,,,,,,,,,,NO,,NO,NO,,,3.00 LBS
